PT 2,PT 1,PT 3
116.6,116.6,123.4893789
116.4,116.4,123.2680904
116.2,116.2,123.0474298
116.0,116.0,122.8273945
115.8,115.8,122.6079823
115.5,115.5,122.3891906
115.3,115.3,122.1710172
115.1,115.1,121.9534595
114.9,114.9,121.7365152
114.7,114.7,121.520182
114.5,114.5,121.3044575
114.3,114.3,121.0893394
114.1,114.1,120.8748253
113.9,113.9,120.6609129
113.7,113.7,120.4475999
113.5,113.5,120.234884
113.3,113.3,120.0227629
113.1,113.1,119.8112343
112.9,112.9,119.6002961
112.7,112.7,119.3899458
112.4,112.4,119.1801814
112.2,112.2,118.9710005
112.0,112.0,118.7624009
111.8,111.8,118.5543804
111.6,111.6,118.3469369
111.4,111.4,118.1400681
111.2,111.2,117.9337718
111.0,111.0,117.728046
110.8,110.8,117.5228883
110.6,110.6,117.3182968
110.5,110.5,117.1142692
110.3,110.3,116.9108035
110.1,110.1,116.7078974
109.9,109.9,116.5055489
109.7,109.7,116.303756
109.5,109.5,116.1025165
109.3,109.3,115.9018283
109.1,109.1,115.7016894
108.9,108.9,115.5020977
108.7,108.7,115.3030512
108.5,108.5,115.1045478
108.3,108.3,114.9065855
108.1,108.1,114.7091624
107.9,107.9,114.5122763
107.7,107.7,114.3159253
107.6,107.6,114.1201074
107.4,107.4,113.9248206
107.2,107.2,113.730063
107.0,107.0,113.5358326
106.8,106.8,113.3421274
106.6,106.6,113.1489454
106.4,106.4,112.9562849
106.2,106.2,112.7641438
106.1,106.1,112.5725202
105.9,105.9,112.3814122
105.7,105.7,112.190818
105.5,105.5,112.0007355
105.3,105.3,111.8111631
105.1,105.1,111.6220986
105.0,105.0,111.4335405
104.8,104.8,111.2454866
104.6,104.6,111.0579353
104.4,104.4,110.8708847
104.2,104.2,110.6843329
104.1,104.1,110.4982781
103.9,103.9,110.3127186
103.7,103.7,110.1276525
103.5,103.5,109.943078
103.3,103.3,109.7589933
103.2,103.2,109.5753967
103.0,103.0,109.3922864
102.8,102.8,109.2096606
102.6,102.6,109.0275176
102.5,102.5,108.8458556
102.3,102.3,108.6646729
102.1,102.1,108.4839677
101.9,101.9,108.3037384
101.8,101.8,108.1239832
101.6,101.6,107.9447005
101.4,101.4,107.7658885
101.2,101.2,107.5875454
101.1,101.1,107.4096698
100.9,100.9,107.2322598
100.7,100.7,107.0553138
100.6,100.6,106.8788302
100.4,100.4,106.7028072
100.2,100.2,106.5272433
100.1,100.1,106.3521368
99.9,99.9,106.1774861
99.7,99.7,106.0032896
99.6,99.6,105.8295456
99.4,99.4,105.6562525
99.2,99.2,105.4834088
